name,lat,lon
논현1동,37.51386352,127.0293228
논현2동,37.515203,127.0338478
삼성1동,37.51490762,127.0605466
삼성2동,37.51129131,127.0480749
신사동,37.51836971,127.0241347
압구정동,37.52934822,127.0356146
역삼1동,37.50831706,127.0410199
청담동,37.52079962,127.0542755
개포4동,37.47978001,127.051166
세곡동,37.46517478,127.1073627
대치1동,37.49196253,127.0570951
역삼2동,37.5013315,127.0437167
수서동,37.48912589,127.1048143
일원1동,37.49241543,127.0833748
성내2동,37.52867635,127.1268944
강일동,37.56486644,127.1732132
고덕1동,37.55733844,127.1517376
길동,37.53466266,127.1426267
둔춘2동,37.52533541,127.1456543
명일2동,37.55364589,127.1560894
성내1동,37.52843206,127.1269152
암사3동,37.55499501,127.1407822
천호2동,37.54257258,127.1207759
미아동,37.62015606,127.0282635
번3동,37.62362384,127.048129
번1동,37.63597627,127.0325792
삼양동,37.62482703,127.0182211
송중동,37.61631011,127.0304005
수유1동,37.63067445,127.0175822
수유2동,37.64092053,127.0170997
수유3동,37.6443353,127.0265866
인수동,37.63526203,127.0191241
등촌3동,37.55924734,126.8501297
화곡4동,37.53291073,126.8631377
방화2동,37.56236911,126.8082803
화곡1동,37.52934303,126.8458031
등촌2동,37.54480966,126.8618712
발산1동,37.54940786,126.826044
방화3동,37.57980456,126.814684
염창동,37.55189424,126.8674034
화곡6동,37.55170036,126.8499487
화곡3동,37.5446709,126.83518
청룡동,37.47444889,126.9510679
서림동,37.47385913,126.9352629
낙성대동,37.47832745,126.9575946
난향동,37.46111979,126.9192506
남현동,37.47455595,126.9778736
은천동,37.48600784,126.934366
미성동,37.47992313,126.9156125
성현동,37.48720505,126.9448988
서원동,37.48401782,126.9333185
신사동,37.48727794,126.9141931
광장동,37.54445602,127.1033166
자양3동,37.53385851,127.0716181
자양1동,37.53661944,127.0769204
자양4동,37.53518575,127.063636
중곡1동,37.56372111,127.0827887
중곡2동,37.56015047,127.0814764
중곡3동,37.56880816,127.0801365
중곡4동,37.56533619,127.0872621
화양동,37.54661623,127.071315
구로2동,37.49453161,126.8870136
가리봉동,37.47920893,126.8926625
개봉2동,37.49183145,126.8564507
고척2동,37.50659936,126.8583044
구로3동,37.48666092,126.891399
구로4동,37.48925157,126.8906987
구로5동,37.50227003,126.8838942
오류1동,37.49481449,126.8388404
오류2동,37.48387283,126.8425731
가산동,37.47993628,126.8880577
시흥1동,37.45415629,126.899796
독산1동,37.46466496,126.8948129
독산4동,37.4695342,126.9034607
시흥5동,37.45104173,126.9125935
하계1동,37.64222205,127.071412
"상계6,7동",37.65500498,127.0669157
"상계3,4동",37.67150378,127.0778753
"중계2,3동",37.64201919,127.0683544
상계9동,37.66458604,127.0636194
